best_trial_nr,rmse,data_points,lr,total_layers,n_units_l0,n_units_l1,n_units_l2,n_units_l3,n_units_l4,n_units_l5,n_units_l6,n_units_l7,n_units_l8,n_units_l9,n_units_l10,n_units_l11
32,4.484694946714048,151991,0.00012822249469111565,8,576,1440,1696,3776,2528,1408,3712,1888,,,,
32,3.271842301448929,284803,0.0004700620324092984,8,3360,1568,2400,800,1504,32,1248,1696,,,,
21,90.35919189453125,1000,0.0017286637833889744,9,4096,3232,3136,2624,2432,800,192,704,4096,,,
13,51.52780388324706,1873,0.005051835155870842,9,800,1792,2944,2496,2048,896,1280,2528,864,,,
10,30.254675714444904,3511,0.0014885385518056459,9,3040,160,96,4032,352,1184,2336,3968,1856,,,
10,19.682368908033514,6579,0.0007733099258518377,9,32,3936,992,192,2848,2720,2304,1280,1088,,,
14,12.109899752848857,12328,0.00017555532876912128,9,1728,832,3168,128,2720,3008,3968,2880,256,,,
10,10.813682770224986,23101,0.0004113128969758517,9,2400,4032,1280,960,1152,4064,1664,32,1728,,,
73,5.99895671381338,43287,0.00030170176844871685,9,1632,352,192,640,896,352,2784,640,544,,,
64,7.479376694047128,81113,0.0006936080089223714,9,1632,1824,192,3840,2944,768,2112,544,576,,,
51,6.040453444819533,151991,0.0007268093729973384,9,320,224,1184,4032,2048,3424,3712,2240,3968,,,
41,6.00876818124951,284803,0.004102674196360482,9,864,3040,2304,2016,2112,2016,1312,3104,1760,,,
73,96.12556457519531,1000,0.00013807077613805184,10,640,1152,3296,1056,3552,960,2656,2720,3680,1088,,
42,41.688966539171005,1873,0.0010394395990953153,10,1056,2304,3936,1824,1568,3264,32,1760,160,3936,,
31,36.68949091593424,3511,0.0008224009463191533,10,4064,2016,3744,4096,96,672,4064,800,3232,1792,,
51,29.213346283803343,6579,0.0005782662711757913,10,1056,576,1376,2912,2944,3104,2592,2080,1088,32,,
52,12.546310466671352,12328,0.0002601855181357097,10,960,2816,1088,3936,2496,480,3936,1312,2688,512,,
14,9.787213134980659,23101,0.001659791358718063,10,2592,3296,736,1952,3584,4096,608,768,192,1856,,
43,9.09856059552098,43287,0.0004157836860979654,10,3808,1696,352,544,3776,608,1824,416,3744,3264,,
97,6.7577745157424465,81113,0.0016664265804050477,10,1088,2816,1952,1696,1184,928,96,2144,3424,2432,,
27,4.227757886172483,151991,6.21556605948149,10,992,3392,832,32,96,3520,2464,4032,2496,1216,,
22,3.4029425044940127,284803,0.00021502733209028432,10,800,3744,1760,2592,3776,1472,1728,3712,800,3648,,
71,95.07532501220703,1000,6.800640215014198,11,576,1536,1728,1088,3040,256,544,1472,3552,320,1440,
21,88.07288530137804,1873,0.00048259849579482137,11,2944,1536,4000,2336,2368,4032,2144,4096,832,1184,3136,
10,37.60662287341615,3511,0.002097533526170349,11,128,320,928,2624,2464,64,128,1664,1248,128,1152,
34,14.616048315394872,6579,0.0005780560187938081,11,64,2688,2080,2336,416,2592,2624,2752,2848,3008,2080,
18,13.915375889958563,12328,0.0009688305860273801,11,224,1792,2848,640,3104,3488,1120,4064,2144,1664,992,
31,8.624923250061695,23101,0.0011318627398546667,11,1472,672,128,768,3648,2496,1696,2464,3552,1856,672,
40,7.04183151073701,43287,5.275175550673028,11,704,1696,960,96,2944,2368,2944,1248,2304,3648,1248,
65,5.018769164368325,81113,0.00033807178318163517,11,32,1920,2336,3840,3392,544,2624,3552,2464,3744,3776,
24,4.300895799571844,151991,0.00016871021793833234,11,1408,2400,3648,32,2944,960,3200,704,2272,1216,928,
83,3.177981702792445,284803,0.0004632896060208798,11,1632,3872,416,1632,3520,928,32,128,1408,288,2176,
42,88.70927429199219,1000,0.00594998369521803,12,1792,1376,2816,3264,1696,1056,928,2016,3136,224,3456,992
12,39.16404963992639,1873,0.0007651064079303091,12,2912,1088,1760,1248,128,1120,1504,928,3936,896,2560,4032
34,31.352540439402564,3511,0.00028146579770949335,12,3808,3424,1568,1248,544,352,2368,3168,1056,4096,2112,64
14,29.04070078301072,6579,0.00024341220936673375,12,1568,2592,448,4000,2400,2976,2752,3584,4032,2496,1088,3040
43,11.130402771202293,12328,0.0003507707453669714,12,512,3904,1280,96,1184,2400,3104,1824,3808,3264,2592,2336
27,9.201620272273786,23101,3.9471599700408814,12,1728,3040,1792,1920,1696,64,1760,832,3744,2208,4096,2624
72,7.737569205699118,43287,1.5202714684053062,12,512,256,2432,2496,1408,1504,1824,3904,2688,3936,2688,1728
61,5.030411922677025,81113,0.00035515775663857123,12,1408,2016,3072,768,160,1920,512,3456,1920,1536,3968,3456
24,3.611063290511624,151991,0.00014664992859647413,12,2592,1568,1504,608,1280,2016,2912,960,352,2336,3072,64
26,5.409987538661171,284803,0.00010948112134679527,12,768,1728,2304,2304,1824,2752,1600,2048,2432,3296,3360,2048
