gpu_id,dataset_size,n_layers,rmse
0,1000,4,6.051042079925537
1,1000,5,2.3003411293029785
0,1000,6,7.991324424743652
1,1000,7,4.974672794342041
0,4641,4,2.554412415360046
1,4641,5,1.6440970465161096
1,4641,7,1.069871259022908
0,4641,6,2.4560927454247534
0,21544,5,1.0937507715479367
1,21544,4,0.8761430801239578
0,21544,6,0.685899559993309
1,21544,7,0.654219457808069
0,100000,4,0.420257380163693
1,100000,5,0.3056149063937887
0,100000,6,0.23752112778570056
1,100000,7,0.3126394151679054
