Frame,Elapsed Time,X,Y,Z
0,0.023003339767456055,30.681432723999023,0.7058999538421631,129.96826171875
1,0.04317307472229004,31.26241683959961,1.3505338430404663,129.8882293701172
2,0.0721743106842041,32.06465530395508,2.3182711601257324,129.68798828125
2,0.09317398071289062,32.61686706542969,3.047868490219116,129.48062133789062
3,0.11917400360107422,33.261932373046875,3.9828310012817383,129.15188598632812
3,0.14139223098754883,33.7752571105957,4.8076395988464355,128.8084716796875
4,0.16839098930358887,34.346805572509766,5.838986396789551,128.31468200683594
5,0.1893918514251709,34.7483024597168,6.660876274108887,127.87345123291016
5,0.2153918743133545,35.18901824951172,7.69885778427124,127.25916290283203
6,0.23669147491455078,35.5007209777832,8.563231468200684,126.70093536376953
6,0.25669026374816895,35.750823974609375,9.383901596069336,126.13267517089844
7,0.2636902332305908,35.828311920166016,9.672813415527344,125.9238510131836
7,0.27169036865234375,35.91034698486328,10.003862380981445,125.67897033691406
7,0.2816901206970215,36.00297164916992,10.418723106384277,125.36363983154297
7,0.29569029808044434,36.11384582519531,11.001014709472656,124.9051513671875
8,0.30369019508361816,36.167205810546875,11.334230422973633,124.6343765258789
8,0.311690092086792,36.21320343017578,11.66760540008545,124.35729217529297
8,0.32369327545166016,36.26826858520508,12.16776180267334,123.92987823486328
8,0.3316934108734131,36.29558181762695,12.500853538513184,123.63733673095703
8,0.343916654586792,36.32267379760742,13.008956909179688,123.17870330810547
9,0.3529222011566162,36.33123016357422,13.382376670837402,122.83192443847656
9,0.3649177551269531,36.32748794555664,13.878110885620117,122.3585205078125
9,0.3739171028137207,36.313270568847656,14.2484712600708,121.99490356445312
9,0.38591742515563965,36.279022216796875,14.739821434020996,121.49896240234375
10,0.3939173221588135,36.246456146240234,15.065533638000488,121.16145324707031
10,0.4019172191619873,36.206092834472656,15.389580726623535,120.81852722167969
10,0.41391730308532715,36.13091278076172,15.872182846069336,120.29415893554688
10,0.42292237281799316,36.062965393066406,16.231304168701172,119.89297485351562
11,0.43492746353149414,35.957035064697266,16.705583572387695,119.3481216430664
11,0.44395017623901367,35.86590576171875,17.05837059020996,118.93126678466797
11,0.45494961738586426,35.74149703979492,17.483823776245117,118.41475677490234
11,0.46394991874694824,35.628875732421875,17.827903747558594,117.98548889160156
